epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,2480.1,0.40392,0.30748,0.83313,0.93972,0.68062,0.78228,0.64944,0.48401,0.46513,0.85143,5.40046e-05,5.40046e-05,5.40046e-05
94,2506.83,0.41468,0.31472,0.8343,0.93295,0.69021,0.78587,0.65901,0.47898,0.44199,0.84814,5.35046e-05,5.35046e-05,5.35046e-05
95,2533.47,0.41498,0.31352,0.83879,0.92844,0.69806,0.79191,0.66137,0.47424,0.43817,0.84123,5.30047e-05,5.30047e-05,5.30047e-05
96,2560.43,0.40413,0.31005,0.83227,0.94952,0.68679,0.79219,0.66174,0.47968,0.44131,0.84471,5.25048e-05,5.25048e-05,5.25048e-05
97,2587.39,0.41196,0.31265,0.83394,0.91126,0.70258,0.78827,0.66335,0.47647,0.44963,0.84658,5.20048e-05,5.20048e-05,5.20048e-05
98,2614.43,0.41269,0.31508,0.83479,0.93351,0.68044,0.78929,0.66119,0.47551,0.45446,0.84469,5.15049e-05,5.15049e-05,5.15049e-05
99,2641.21,0.40459,0.30876,0.83552,0.91841,0.68673,0.78118,0.65845,0.47736,0.46097,0.84407,5.10049e-05,5.10049e-05,5.10049e-05
100,2667.84,0.40946,0.31144,0.84129,0.9217,0.70043,0.78518,0.65807,0.47554,0.46336,0.847,5.0505e-05,5.0505e-05,5.0505e-05
101,2694.49,0.41574,0.31292,0.83214,0.9257,0.68847,0.78497,0.66351,0.47317,0.45549,0.84426,5.0005e-05,5.0005e-05,5.0005e-05
102,2720.97,0.40278,0.30396,0.83258,0.91957,0.69872,0.78728,0.66088,0.47835,0.44559,0.8486,4.95051e-05,4.95051e-05,4.95051e-05
103,2747.53,0.3991,0.30594,0.83375,0.95006,0.68133,0.78634,0.66247,0.46925,0.44,0.8437,4.90051e-05,4.90051e-05,4.90051e-05
104,2774.13,0.40005,0.30751,0.83547,0.93329,0.69151,0.78818,0.66508,0.47474,0.44227,0.84442,4.85052e-05,4.85052e-05,4.85052e-05
105,2800.75,0.39962,0.30686,0.83406,0.93866,0.6887,0.79016,0.65806,0.47726,0.43793,0.84111,4.80052e-05,4.80052e-05,4.80052e-05
106,2827.24,0.39664,0.30449,0.83315,0.94014,0.69872,0.78729,0.66027,0.47348,0.45626,0.84459,4.75053e-05,4.75053e-05,4.75053e-05
107,2854.27,0.40319,0.30658,0.83807,0.9423,0.69259,0.79207,0.66656,0.4746,0.46236,0.85293,4.70053e-05,4.70053e-05,4.70053e-05
108,2880.84,0.39715,0.30084,0.83238,0.92113,0.70615,0.78983,0.66603,0.47542,0.45868,0.85162,4.65054e-05,4.65054e-05,4.65054e-05
109,2907.49,0.40287,0.30284,0.83284,0.93309,0.69255,0.78962,0.66494,0.47664,0.43565,0.85156,4.60054e-05,4.60054e-05,4.60054e-05
110,2933.91,0.40439,0.30726,0.83719,0.9186,0.69104,0.78574,0.66038,0.48083,0.45505,0.85766,4.55054e-05,4.55054e-05,4.55054e-05
111,2960.46,0.39078,0.29373,0.82827,0.91716,0.69631,0.79019,0.662,0.47619,0.45851,0.8497,4.50055e-05,4.50055e-05,4.50055e-05
112,2986.95,0.3933,0.29723,0.82836,0.94077,0.69801,0.79262,0.6692,0.47241,0.44318,0.85227,4.45055e-05,4.45055e-05,4.45055e-05
113,3013.45,0.40064,0.30105,0.83533,0.90036,0.72254,0.79089,0.66892,0.46538,0.44226,0.84424,4.40056e-05,4.40056e-05,4.40056e-05
114,3039.93,0.39026,0.29658,0.83279,0.92374,0.71588,0.79153,0.66587,0.46629,0.43752,0.84426,4.35057e-05,4.35057e-05,4.35057e-05
115,3066.5,0.38557,0.2877,0.82893,0.92288,0.71205,0.79101,0.66708,0.46402,0.44614,0.84374,4.30057e-05,4.30057e-05,4.30057e-05
116,3093.17,0.39667,0.2978,0.83504,0.91045,0.72187,0.79285,0.66466,0.47137,0.43726,0.84525,4.25058e-05,4.25058e-05,4.25058e-05
117,3119.48,0.40369,0.30518,0.8348,0.89825,0.72569,0.78967,0.66216,0.46592,0.45286,0.842,4.20058e-05,4.20058e-05,4.20058e-05
118,3145.93,0.38318,0.28691,0.82718,0.93099,0.70585,0.78511,0.66574,0.4704,0.45327,0.84816,4.15059e-05,4.15059e-05,4.15059e-05
119,3172.37,0.38398,0.28972,0.82835,0.91358,0.7129,0.79351,0.66852,0.45945,0.45815,0.83541,4.10059e-05,4.10059e-05,4.10059e-05
120,3198.82,0.38423,0.28783,0.82596,0.92795,0.70663,0.78771,0.66173,0.46361,0.45476,0.8427,4.0506e-05,4.0506e-05,4.0506e-05
121,3225.4,0.39036,0.29907,0.83182,0.92641,0.70766,0.78964,0.66151,0.46868,0.45886,0.84535,4.0006e-05,4.0006e-05,4.0006e-05
122,3251.94,0.39004,0.29174,0.82754,0.92042,0.7023,0.78727,0.65833,0.4817,0.45528,0.85866,3.95061e-05,3.95061e-05,3.95061e-05
123,3278.68,0.38013,0.28815,0.8281,0.92883,0.71456,0.79766,0.66395,0.47171,0.45509,0.8474,3.90061e-05,3.90061e-05,3.90061e-05
124,3305.61,0.38777,0.2892,0.82973,0.91628,0.70825,0.79728,0.66936,0.46547,0.46118,0.83666,3.85062e-05,3.85062e-05,3.85062e-05
125,3332.49,0.38498,0.28784,0.83137,0.92793,0.71143,0.79144,0.66743,0.46135,0.45122,0.83652,3.80062e-05,3.80062e-05,3.80062e-05
126,3359.02,0.37073,0.28045,0.83071,0.93846,0.70372,0.79435,0.66576,0.47318,0.46131,0.84515,3.75063e-05,3.75063e-05,3.75063e-05
127,3385.52,0.37601,0.28741,0.82935,0.90163,0.72772,0.79687,0.66864,0.46502,0.45802,0.84144,3.70063e-05,3.70063e-05,3.70063e-05
128,3412.04,0.37407,0.27974,0.82294,0.91636,0.7187,0.79308,0.6642,0.47109,0.44341,0.84898,3.65064e-05,3.65064e-05,3.65064e-05
129,3438.28,0.38093,0.28767,0.82534,0.92064,0.70762,0.78901,0.65907,0.47696,0.46062,0.84766,3.60064e-05,3.60064e-05,3.60064e-05
